"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"안녕 나는 병이 있어",1.739,"안녕하세요,",2.473,0.897,1.512,1.4911248683929443
"안녕 나는 병이 있어",1.739,"창건 씨.",0,2.362,1.518,1.500417709350586
"안녕 나는 병이 있어",1.739,"병 때문에 오셨군요.",0.001,0.942,2.238,1.1068940162658691
"안녕 나는 병이 있어",1.739,"어떤 이유로 이곳에 오셨는지 말씀해주실 수 있을까요?",0.001,1.994,3.696,0.9180381894111633

"내가 그 마음에 병이 생긴지 좀 됐는데 정신병이 있는 것 같아. 약간 완벽주의자인데 남들이 힘들게 해 그것 때문에.",1.098,"창건 씨,",4.229,1.425,1.461,1.4419820308685303
"내가 그 마음에 병이 생긴지 좀 됐는데 정신병이 있는 것 같아. 약간 완벽주의자인데 남들이 힘들게 해 그것 때문에.",1.098,"마음의 병이 완벽주의와 관련이 있다고 느끼시는군요.",0.001,2.472,3.449,0.8548968434333801
"내가 그 마음에 병이 생긴지 좀 됐는데 정신병이 있는 것 같아. 약간 완벽주의자인데 남들이 힘들게 해 그것 때문에.",1.098,"남들이 힘들게 한다고 하셨는데,",0.001,0.985,2.864,0.9450658957163492
"내가 그 마음에 병이 생긴지 좀 됐는데 정신병이 있는 것 같아. 약간 완벽주의자인데 남들이 힘들게 해 그것 때문에.",1.098,"그 상황에 대해 조금 더 자세히 말씀해주실 수 있을까요?",0,2.038,3.767,0.9339810013771057
"내가 사실 교수인데 내 학생들이 내가 시킨 걸 잘 안 해오면 내가 과하게 몰아칠 때가 있는 것 같아 조금 화내기도 하고 짜증내기도 하고 만족 못하기도 하면서 그럴 때 좀 많이 힘들어하는 것 같은데 나만 이런 걸까?",1.509,"이런 상황에서 그런 감정을 느끼는 건 정말 자연스러운 일이에요.",3.383,1.789,4.557,0.9044322013854981
"내가 사실 교수인데 내 학생들이 내가 시킨 걸 잘 안 해오면 내가 과하게 몰아칠 때가 있는 것 같아 조금 화내기도 하고 짜증내기도 하고 만족 못하기도 하면서 그럴 때 좀 많이 힘들어하는 것 같은데 나만 이런 걸까?",1.509,"완벽주의 때문에 더 민감하게 느껴질 수 있겠네요.",0.001,1.453,3.681,0.9138501286506653
"내가 사실 교수인데 내 학생들이 내가 시킨 걸 잘 안 해오면 내가 과하게 몰아칠 때가 있는 것 같아 조금 화내기도 하고 짜증내기도 하고 만족 못하기도 하면서 그럴 때 좀 많이 힘들어하는 것 같은데 나만 이런 걸까?",1.509,"창건 씨의 감정이 이해가 됩니다.",0,2.759,2.987,0.9853115081787109
"그래서 어쩌라고 해봐 그래서 어쩌라고? 이해만 한다고? 너도 좀 혼나야겠다",1.254,"창건 씨,",2.876,1.329,1.569,1.5492913722991943
"그래서 어쩌라고 해봐 그래서 어쩌라고? 이해만 한다고? 너도 좀 혼나야겠다",1.254,"화가 나신 것 같아요.",0.001,2.369,2.372,1.1761006116867065
"그래서 어쩌라고 해봐 그래서 어쩌라고? 이해만 한다고? 너도 좀 혼나야겠다",1.254,"그 감정도 충분히 이해해요.",0.001,1.474,3.006,0.9944433371225992
"그래서 어쩌라고 해봐 그래서 어쩌라고? 이해만 한다고? 너도 좀 혼나야겠다",1.254,"이런 감정이 드는 이유를 조금 더 생각해보면 좋을 것 같아요.",0,2.99,4.541,0.9035322666168213
