"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"안녕히계세요",1.118,"안녕하세요,",2.335,1.418,1.55,1.523360013961792
"안녕히계세요",1.118,"gyosunim님.",0.001,1.616,1.503,1.4851195812225342
"안녕히계세요",1.118,"만나서 반가워요.",0.001,1.185,2.311,1.1445266008377075
"안녕히계세요",1.118,"어떤 이유로 오셨나요?",0.001,1.613,2.176,1.077847957611084

"저희 딸이 유튜브를 너무 많이 하는데 하지 말라 하면 화내서 너무 스트레스입니다. 어떻게 해야 될까요?",1.416,"그렇군요.",4.164,1.242,1.563,1.5410144329071045
"저희 딸이 유튜브를 너무 많이 하는데 하지 말라 하면 화내서 너무 스트레스입니다. 어떻게 해야 될까요?",1.416,"이건 gyosunim님만의 문제가 아니에요.",0.001,1.371,2.923,0.9636267026265463
"저희 딸이 유튜브를 너무 많이 하는데 하지 말라 하면 화내서 너무 스트레스입니다. 어떻게 해야 될까요?",1.416,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,1.96,5.11,0.847573717435201
"저희 딸이 유튜브를 너무 많이 하는데 하지 말라 하면 화내서 너무 스트레스입니다. 어떻게 해야 될까요?",1.416,"구체적으로 어떤 상황에서 딸이 화를 내나요?",0.001,1.198,3.718,0.9219793081283569
"아니 제가 유튜브를 1시간만 하라 했는데 하루에 7시간씩 하고 그러는데 하지 말라고 하면 화를 냅니다",0.948,"딸이 하루에 7시간씩 유튜브를 보는 건 걱정이 되시겠어요.",3.372,2.173,4.54,0.9015258312225342
"아니 제가 유튜브를 1시간만 하라 했는데 하루에 7시간씩 하고 그러는데 하지 말라고 하면 화를 냅니다",0.948,"딸이 화를 낼 때,",0,1.419,2.178,1.0790996551513672
"아니 제가 유튜브를 1시간만 하라 했는데 하루에 7시간씩 하고 그러는데 하지 말라고 하면 화를 냅니다",0.948,"gyosunim님은 어떤 감정을 느끼시나요?",0.001,1.733,3.013,0.9968345165252686
"답답하죠?",0.819,"답답하실 것 같아요.",2.327,1.059,2.2,1.0907719135284424
"답답하죠?",0.819,"그럴 때 gyosunim님께서는 어떻게 대처하고 계신가요?",0.001,1.259,3.497,0.8683106899261475
"스님만의 공감이 아니라고 내가 봤어?",0.817,"그럴 때 정말 힘드셨겠어요.",2.656,0.874,2.954,0.9754350980122884
"스님만의 공감이 아니라고 내가 봤어?",0.817,"감정이 많이 쌓였을 것 같아요.",0.001,2.859,2.938,0.9721432526906332
"스님만의 공감이 아니라고 내가 봤어?",0.817,"그동안 정말 애쓰셨어요.",0,1.593,2.212,1.0948270559310913
"네 그래서 이제 어떻게 해야 되죠?",0.701,"딸과 대화할 때,",2.534,0.965,2.302,1.1393438577651978
"네 그래서 이제 어떻게 해야 되죠?",0.701,"왜 유튜브를 많이 보는지 먼저 물어보는 건 어떨까요?",0,1.836,4.385,0.8711118698120117
