"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"안녕 내 이름은 이태희고 만나서 반가워 오늘 상담을 받으려고 왔어",0.889,"안녕하세요,",2.126,1.294,1.537,1.5170395374298096
"안녕 내 이름은 이태희고 만나서 반가워 오늘 상담을 받으려고 왔어",0.889,"이태희 씨.",0.001,1.354,1.507,1.490278959274292
"안녕 내 이름은 이태희고 만나서 반가워 오늘 상담을 받으려고 왔어",0.889,"만나서 반가워요.",0.001,0.909,2.219,1.0991053581237793
"안녕 내 이름은 이태희고 만나서 반가워 오늘 상담을 받으려고 왔어",0.889,"어떤 이유로 상담을 받으러 오셨나요?",0.001,1.134,2.887,0.952772855758667

"내가 요즘 다이어트 중인데 운동을 안하고 살을 뺄 수 있는 방법이 있을까?",1.95,"그렇군요.",1.827,0.726,1.523,1.4996309280395508
"내가 요즘 다이어트 중인데 운동을 안하고 살을 뺄 수 있는 방법이 있을까?",1.95,"이건 이태희 씨만의 문제가 아니에요.",0.001,1.134,3.033,1.0033299922943115
"내가 요즘 다이어트 중인데 운동을 안하고 살을 뺄 수 있는 방법이 있을까?",1.95,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,2.354,4.385,0.8721930027008057
"내가 요즘 다이어트 중인데 운동을 안하고 살을 뺄 수 있는 방법이 있을까?",1.95,"다이어트에 대해 조금 더 자세히 이야기해 주실 수 있을까요?",0.001,1.856,4.163,0.828125286102295
"나 주변 사람들이 너무 살쪘다 그래서 자존감도 많이 내려가고 스스로를 안 아끼게 되는 것 같아서 다이어트를 하려고 해 어떤 좋은 방법이 있을까?",1.873,"주변의 말 때문에 자존감이 내려가는 건 정말 힘든 일이죠.",3.566,1.664,4.544,0.903163480758667
"나 주변 사람들이 너무 살쪘다 그래서 자존감도 많이 내려가고 스스로를 안 아끼게 되는 것 같아서 다이어트를 하려고 해 어떤 좋은 방법이 있을까?",1.873,"혹시 주변 사람들이 그런 말을 했을 때,",0.001,1.802,2.999,0.9891223907470703
"나 주변 사람들이 너무 살쪘다 그래서 자존감도 많이 내려가고 스스로를 안 아끼게 되는 것 같아서 다이어트를 하려고 해 어떤 좋은 방법이 있을까?",1.873,"어떤 상황이었는지 예를 들어 주실 수 있나요?",0,1.359,3.652,0.9052526354789734
