"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"안녕하세요. 나는 이준성이에요. 옷을 사고 싶은데 옷이 없어요.",1.842,"안녕하세요,",2.68,1.064,38.39,37.479703187942505
"안녕하세요. 나는 이준성이에요. 옷을 사고 싶은데 옷이 없어요.",1.842,"준성 씨.",0,1.648,1.546,1.5258755683898926
"안녕하세요. 나는 이준성이에요. 옷을 사고 싶은데 옷이 없어요.",1.842,"옷이 없어서 고민이시군요.",0.001,1.199,2.24,1.108819842338562
"안녕하세요. 나는 이준성이에요. 옷을 사고 싶은데 옷이 없어요.",1.842,"어떤 이유로 옷을 사고 싶으신가요?",0,2.109,2.949,0.9726432164510092

"까네에스트가 입은 옷을 사고싶은데 없어",0.858,"그렇군요.",5.884,1.022,1.472,1.4557278156280518
"까네에스트가 입은 옷을 사고싶은데 없어",0.858,"이건 준성 씨만의 문제가 아니에요.",0.001,1.952,2.905,0.9607237974802653
"까네에스트가 입은 옷을 사고싶은데 없어",0.858,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,2.353,4.961,0.8218416770299276
"까네에스트가 입은 옷을 사고싶은데 없어",0.858,"어떤 점에서 그 옷이 마음에 드셨나요?",0,1.592,2.905,0.9594709873199463
"남들, 그지들은 못사고 나만 살 수 있는 비싼 옷이라 좋아",0.959,"그렇군요.",2.311,1.068,1.65,1.6322805881500244
"남들, 그지들은 못사고 나만 살 수 있는 비싼 옷이라 좋아",0.959,"준성 씨에게 그 옷이 특별한 의미가 있는 것 같아요.",0,3.503,3.692,0.9147197604179382
"남들, 그지들은 못사고 나만 살 수 있는 비싼 옷이라 좋아",0.959,"혹시 그 옷을 입었을 때 어떤 기분이 들 것 같으신가요?",0.001,1.489,3.619,0.897305428981781
"세상을 다 가진 기분이야 무대 위에서 랩도 할 수 있을 것 같애",0.98,"그 옷이 준성 씨에게 자신감을 주는 것 같네요.",14.368,1.455,3.606,0.8952513337135315
"세상을 다 가진 기분이야 무대 위에서 랩도 할 수 있을 것 같애",0.98,"그 옷을 입고 무대에 서는 상상을 하니 어떤 느낌이 드시나요?",0,1.476,4.375,0.8699629783630372
"그 매직넘어 먼저 할까요?",0.98,"준성 씨가 그 옷을 통해 자신감을 얻고 싶은 마음이 느껴져요.",2.874,3.038,4.362,0.8660652160644531
"그 매직넘어 먼저 할까요?",0.98,"그렇다면,",0,1.454,1.523,1.5075068473815918
"그 매직넘어 먼저 할까요?",0.98,"지금 당장 할 수 있는 작은 일부터 시작해보는 건 어떨까요?",0.001,1.983,3.647,0.9046239256858826
"못찾어",0.655,"준성 씨,",2.233,1.033,1.549,1.5356218814849854
"못찾어",0.655,"괜찮아요.",0.001,3.039,1.506,1.486055850982666
"못찾어",0.655,"지금 당장은 힘들겠지만,",0.001,1.144,2.207,1.0898069143295288
"못찾어",0.655,"저는 준성 씨가 이겨낼 수 있다는 걸 믿어요.",0.002,2.123,3.038,1.0028494199117024
"못찾어",0.655,"어떤 작은 목표부터 시작할 수 있을지 생각해보는 건 어떨까요?",0.001,1.627,4.556,0.9061655521392822
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"안녕하세요,",2.051,1.755,6.532,6.507941484451294
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"준성 씨.",0.001,1.587,1.48,1.4637556076049805
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"대학원 생활이 힘들어서 오셨군요.",0.001,1.963,2.94,0.9700118700663248
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"그렇군요.",0,0.895,1.436,1.4191758632659912
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"이건 준성 씨만의 문제가 아니에요.",0.001,2.352,2.946,0.972084124883016
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,1.969,5.07,0.840726892153422
"안녕하세요 저는 이준성이구요 대학원생활 힘들어서 찾아왔습니다",1.532,"어떤 점이 가장 힘들게 느껴지시나요?",0,1.552,2.949,0.9733985265096029
"그냥 힘들어",1.116,"그렇군요,",2.204,1.012,1.6,1.5839016437530518
"그냥 힘들어",1.116,"준성 씨.",0,1.715,1.444,1.4284141063690186
"그냥 힘들어",1.116,"어떤 상황에서 특히 힘들게 느껴지시나요?",0.001,1.305,3.563,0.8829215168952942
"그냥 힘들어",1.116,"예를 들어 주실 수 있을까요?",0,2.274,2.228,1.1043517589569092
"선배들이 나를 갈구고 퇴근도 못하게 해",0.954,"선배들이 그렇게 행동해서 많이 힘드시겠어요.",2.106,2.259,3.762,0.9347424507141113
"선배들이 나를 갈구고 퇴근도 못하게 해",0.954,"이런 상황에서 어떤 감정이 드시나요?",0,2.114,2.972,0.9807592233022054
"선배들을 죽이고 싶어",0.815,"그런 감정이 들 만큼 많이 힘드셨군요.",2.478,2.091,2.888,0.9525132179260254
"선배들을 죽이고 싶어",0.815,"그런 감정을 느끼는 건 정말 흔한 일이에요.",0.001,1.27,2.834,0.9371983210245768
"선배들을 죽이고 싶어",0.815,"너무 스스로를 몰아붙이지 마세요.",0,1.478,2.819,0.932325522104899
"선배들을 죽이고 싶어",0.815,"지금 이 감정이 준성 씨에게 어떤 영향을 주고 있는지 생각해보신 적 있나요?",0.001,3.174,4.852,0.8050011396408081
"어 사실 나 며칠동안 밥도 못먹고 10킬로나 빠졌어 어떡해야 될까?",1.36,"밥을 못 드셨다니 걱정돼요,",2.545,3.202,2.943,0.9716970125834147
"어 사실 나 며칠동안 밥도 못먹고 10킬로나 빠졌어 어떡해야 될까?",1.36,"준성 씨.",0.001,1.961,1.493,1.4770560264587402
"어 사실 나 며칠동안 밥도 못먹고 10킬로나 빠졌어 어떡해야 될까?",1.36,"지금 당장은 힘들겠지만,",0.001,1.063,2.143,1.058727741241455
"어 사실 나 며칠동안 밥도 못먹고 10킬로나 빠졌어 어떡해야 될까?",1.36,"저는 준성 씨가 이겨낼 수 있다는 걸 믿어요.",0.001,1.887,3.656,0.9086628556251526
"어 사실 나 며칠동안 밥도 못먹고 10킬로나 빠졌어 어떡해야 될까?",1.36,"우선 작은 목표부터 시작해서 식사를 조금씩 해보는 게 어떨까요?",0.001,2.503,4.502,0.8955874919891358
"식사보다는 선배들이 너무 짜증나서 패고싶다고 그걸 어떻게 해결해야 되니?",1.234,"선배들 때문에 많이 짜증나고 힘드시겠어요.",2.249,1.954,3.75,0.9300612211227417
"식사보다는 선배들이 너무 짜증나서 패고싶다고 그걸 어떻게 해결해야 되니?",1.234,"감정이 많이 쌓였을 것 같아요.",0.001,1.984,2.951,0.9737155437469482
"식사보다는 선배들이 너무 짜증나서 패고싶다고 그걸 어떻게 해결해야 되니?",1.234,"그동안 정말 애쓰셨어요.",0.001,1.965,2.257,1.115140676498413
"식사보다는 선배들이 너무 짜증나서 패고싶다고 그걸 어떻게 해결해야 되니?",1.234,"준성 씨가 생각하기에,",0.001,1.176,2.192,1.0856579542160034
"식사보다는 선배들이 너무 짜증나서 패고싶다고 그걸 어떻게 해결해야 되니?",1.234,"이 상황에서 조금이라도 나아질 방법이 있을까요?",0.002,1.272,3.497,0.8685176968574524
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"죄송합니다,",2.384,6.395,1.446,1.431056022644043
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"준성 씨.",0.001,1.787,1.393,1.3773927688598633
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"많이 답답하셨겠어요.",0,1.162,2.165,1.07455575466156
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"지금은 힘들어도 나중에 보면 다 잘 극복한 사람들이 많아요.",0,3.064,4.258,0.847084379196167
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"준성 씨도 그럴 거예요.",0,1.291,2.158,1.0660730600357056
"나아질 방법이 없으니까 널 찾아왔잖아 생각을 좀 하고 얘기해",1.593,"혹시 다른 방법을 생각해볼 수 있을까요?",0.002,1.967,3.566,0.8842699527740479
"안녕, 요새 너무 힘들어.",1.47,"안녕하세요,",3.964,1.376,1.372,1.3556623458862305
"안녕, 요새 너무 힘들어.",1.47,"준성 씨.",0,1.394,1.253,1.2353947162628174
"안녕, 요새 너무 힘들어.",1.47,"만나서 반가워요.",0.001,3.011,2.32,1.1494940519332886
"안녕, 요새 너무 힘들어.",1.47,"어떤 이유로 힘들어하고 계신가요?",0.001,3.064,2.941,0.9719850222269694
